m,Learning Rate,Depth,Hidden Units,Train Loss,Test Loss,Train Misc,Test Misc
10,0.0625,1,256,0.0006,0.0527,0.0000,0.7146
800,1.0000,4,16,0.0440,0.0441,0.6975,0.7167
10,4.0000,3,256,0.0000,0.0571,0.0000,0.7220
400,0.0625,1,64,0.0417,0.0436,0.6725,0.7230
100,4.0000,4,256,0.0375,0.0442,0.5900,0.7241
10,16.0000,1,256,0.0000,0.0426,0.0000,0.7252
100,0.2500,3,16,0.0424,0.0436,0.6100,0.7252
1600,0.0625,3,64,0.0422,0.0428,0.6844,0.7252
10,16.0000,2,64,0.0000,0.0628,0.0000,0.7294
1600,0.2500,3,16,0.0443,0.0443,0.7275,0.7304
10,0.2500,4,64,0.0161,0.0435,0.0000,0.7315
100,0.0625,4,64,0.0419,0.0435,0.6100,0.7315
10,0.0625,2,256,0.0005,0.0585,0.0000,0.7357
200,0.0625,1,64,0.0412,0.0448,0.6400,0.7421
100,0.0625,2,64,0.0370,0.0429,0.5300,0.7452
10,4.0000,2,16,0.0036,0.0451,0.0000,0.7495
40,0.0625,2,64,0.0309,0.0434,0.3500,0.7505
200,1.0000,4,16,0.0437,0.0440,0.6800,0.7516
200,0.2500,2,16,0.0426,0.0436,0.6550,0.7548
200,0.0625,4,64,0.0427,0.0430,0.7450,0.7558
800,0.0625,3,64,0.0428,0.0430,0.7475,0.7558
200,0.2500,3,16,0.0442,0.0444,0.7100,0.7600
800,0.2500,2,16,0.0434,0.0436,0.7250,0.7632
800,0.0625,4,64,0.0438,0.0438,0.7700,0.7653
1600,16.0000,3,64,0.0422,0.0426,0.7581,0.7664
40,4.0000,4,256,0.0309,0.0429,0.5750,0.7696
400,0.0625,3,64,0.0429,0.0434,0.7225,0.7706
400,0.2500,2,16,0.0431,0.0437,0.7300,0.7770
1600,1.0000,4,16,0.0445,0.0444,0.7594,0.7770
10,0.0625,1,64,0.0121,0.0493,0.0000,0.7801
40,0.0625,4,64,0.0399,0.0442,0.6000,0.7833
1600,16.0000,4,16,0.0439,0.0441,0.7800,0.7844
40,1.0000,3,16,0.0372,0.0422,0.5750,0.7865
10,0.0625,3,64,0.0243,0.0470,0.2000,0.7875
40,4.0000,4,16,0.0366,0.0425,0.6000,0.7875
40,16.0000,4,16,0.0390,0.0462,0.6500,0.7875
100,0.0625,2,16,0.0447,0.0449,0.7800,0.7886
40,0.2500,2,16,0.0412,0.0437,0.7000,0.7949
200,0.0625,1,16,0.0422,0.0445,0.7450,0.7949
10,4.0000,4,256,0.0067,0.0589,0.1000,0.7970
400,1.0000,4,16,0.0438,0.0441,0.7850,0.7981
100,0.2500,4,16,0.0446,0.0451,0.7200,0.8023
10,0.2500,1,16,0.0173,0.0477,0.0000,0.8044
100,16.0000,4,16,0.0433,0.0443,0.7800,0.8076
10,1.0000,4,16,0.0361,0.0455,0.6000,0.8097
10,16.0000,4,16,0.0173,0.0462,0.3000,0.8118
40,1.0000,4,16,0.0428,0.0445,0.7000,0.8118
800,0.0625,1,16,0.0459,0.0459,0.8312,0.8118
100,1.0000,4,16,0.0441,0.0448,0.7700,0.8161
200,0.0625,3,16,0.0452,0.0453,0.7700,0.8182
40,0.0625,3,64,0.0379,0.0441,0.5000,0.8214
200,16.0000,4,16,0.0421,0.0433,0.7700,0.8245
200,0.2500,4,16,0.0446,0.0448,0.7750,0.8266
800,0.2500,3,16,0.0447,0.0448,0.8050,0.8266
800,16.0000,3,16,0.0437,0.0435,0.8088,0.8277
1600,0.0625,4,64,0.0442,0.0442,0.8288,0.8298
10,0.0625,2,64,0.0217,0.0497,0.1000,0.8309
40,0.2500,4,16,0.0444,0.0454,0.7500,0.8319
400,0.0625,4,64,0.0436,0.0439,0.7975,0.8319
100,16.0000,3,256,0.0412,0.0464,0.7800,0.8383
10,0.0625,2,16,0.0458,0.0538,0.6000,0.8404
40,0.2500,3,16,0.0427,0.0447,0.7250,0.8404
10,16.0000,2,256,0.0000,0.0751,0.0000,0.8425
40,16.0000,4,64,0.0437,0.0451,0.7750,0.8457
800,0.0625,2,16,0.0462,0.0458,0.8675,0.8467
800,0.2500,4,16,0.0449,0.0449,0.8438,0.8499
1600,0.0625,1,16,0.0467,0.0471,0.8475,0.8510
100,0.2500,2,16,0.0441,0.0448,0.7800,0.8520
10,0.0625,4,64,0.0306,0.0458,0.5000,0.8552
200,0.0625,4,16,0.0460,0.0461,0.8650,0.8636
10,1.0000,3,16,0.0330,0.0460,0.5000,0.8647
1600,0.0625,2,16,0.0474,0.0475,0.8756,0.8668
10,0.0625,1,16,0.0356,0.0506,0.5000,0.8700
400,0.0625,1,16,0.0500,0.0503,0.8875,0.8732
200,16.0000,4,64,0.0449,0.0451,0.8700,0.8795
200,16.0000,4,256,0.0450,0.0451,0.8700,0.8795
400,0.0625,4,16,0.0454,0.0455,0.8750,0.8795
400,0.2500,4,16,0.0449,0.0449,0.8750,0.8795
400,4.0000,4,256,0.0449,0.0450,0.8750,0.8795
400,16.0000,1,256,0.0500,0.0500,0.8750,0.8795
400,16.0000,3,64,0.0449,0.0450,0.8750,0.8795
400,16.0000,4,16,0.0449,0.0450,0.8750,0.8795
400,16.0000,4,256,0.0449,0.0450,0.8750,0.8795
100,16.0000,3,64,0.0448,0.0452,0.8800,0.8795
100,16.0000,4,64,0.0448,0.0452,0.8800,0.8795
1600,16.0000,3,256,0.0500,0.0500,0.9012,0.8795
40,0.0625,1,16,0.0433,0.0475,0.7000,0.8827
400,0.2500,3,16,0.0448,0.0450,0.8725,0.8858
400,0.0625,2,16,0.0474,0.0477,0.8775,0.8858
400,16.0000,4,64,0.0500,0.0500,0.9075,0.8858
100,0.0625,1,16,0.0451,0.0463,0.9100,0.8943
40,0.0625,3,16,0.0467,0.0480,0.9250,0.8943
40,0.0625,4,16,0.0465,0.0479,0.8250,0.8953
40,0.0625,2,16,0.0479,0.0495,0.8500,0.8975
100,16.0000,4,256,0.0500,0.0500,0.8900,0.8975
800,16.0000,4,64,0.0449,0.0449,0.8912,0.8975
800,16.0000,4,256,0.0450,0.0450,0.8912,0.8975
800,0.0625,3,16,0.0465,0.0465,0.8938,0.8975
40,16.0000,3,256,0.0447,0.0454,0.9000,0.8975
1600,16.0000,2,256,0.0500,0.0500,0.8931,0.8985
1600,16.0000,4,64,0.0450,0.0450,0.8931,0.8985
40,16.0000,4,256,0.0425,0.0449,0.8000,0.9006
400,0.0625,3,16,0.0456,0.0456,0.8900,0.9017
200,16.0000,3,256,0.0500,0.0500,0.8750,0.9027
400,4.0000,3,256,0.0500,0.0500,0.8950,0.9027
1600,16.0000,4,256,0.0500,0.0500,0.9000,0.9027
400,16.0000,2,256,0.0500,0.0500,0.8925,0.9038
1600,0.0625,4,16,0.0477,0.0478,0.8994,0.9038
10,0.2500,2,16,0.0353,0.0482,0.6000,0.9049
400,16.0000,3,256,0.0450,0.0451,0.8875,0.9059
800,0.0625,4,16,0.0463,0.0465,0.8962,0.9059
800,16.0000,2,256,0.0500,0.0500,0.8962,0.9059
10,0.2500,3,16,0.0375,0.0477,0.7000,0.9070
100,0.0625,3,16,0.0458,0.0459,0.9000,0.9070
10,16.0000,4,64,0.0257,0.0526,0.4000,0.9080
10,0.0625,3,16,0.0410,0.0477,0.7000,0.9080
10,0.0625,4,16,0.0438,0.0504,0.7000,0.9080
10,0.2500,4,16,0.0401,0.0482,0.7000,0.9080
10,16.0000,3,256,0.0419,0.0527,0.7000,0.9080
10,16.0000,4,256,0.0414,0.0490,0.7000,0.9080
800,16.0000,3,256,0.0451,0.0451,0.8938,0.9080
100,0.0625,4,16,0.0483,0.0485,0.9200,0.9091
40,16.0000,3,64,0.0444,0.0455,0.8500,0.9101
1600,0.0625,3,16,0.0510,0.0509,0.9175,0.9101
200,0.0625,2,16,0.0463,0.0468,0.9100,0.9144
1600,0.2500,4,16,0.0450,0.0450,0.9062,0.9186
